GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
patterns,default,App,185,0,6,0,32,0,7,0,3,0
patterns,observer.publisher,ContentCreator,3,0,0,0,1,0,1,0,1,0
patterns,observer.publisher,EventManager,3,0,0,0,1,0,1,0,1,0
patterns,composite,Producto,61,0,0,0,23,0,12,0,12,0
patterns,composite,LoteProducto,28,0,0,0,8,0,4,0,4,0
patterns,composite,ProductoPadre,3,0,0,0,1,0,1,0,1,0
patterns,observer.suscribers,Follower,3,0,0,0,1,0,1,0,1,0
patterns,model,Order,22,33,0,0,10,13,6,4,6,4
patterns,model,Currency,0,19,0,2,0,8,0,4,0,3
patterns,model,Product,4,17,0,2,2,7,1,4,1,3
patterns,dependecy_injection,Game,13,0,0,0,6,0,3,0,3,0
patterns,dependecy_injection,Playstation,23,0,2,0,8,0,5,0,4,0
patterns,factoria,Fenix,7,0,0,0,3,0,2,0,2,0
patterns,factoria,Cisne,7,0,0,0,3,0,2,0,2,0
patterns,factoria,Pegaso,7,0,0,0,3,0,2,0,2,0
